year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1630,+2,+1,00,00,-2,+2,00,00,00,00,00,-1
1631,-1,-1,00,-1,00,+2,+2,00,+2,+1,00,-1
1632,00,00,-1,00,-1,-1,00,00,00,-1,-1,00
1633,+2,+1,-1,00,-1,00,-1,-1,-1,00,00,-2
1634,+1,00,00,-1,-1,00,00,+2,-1,-1,00,-2
1635,-3,-2,-2,00,-2,00,-1,00,00,-1,00,00
1636,-1,00,-1,-1,+1,+2,00,-1,-1,-2,+1,-2
1637,-2,-1,-2,00,+2,+2,-1,+1,-1,00,-2,-1
1638,00,+2,-1,00,+2,-1,+2,+1,-1,-2,00,00
1639,-1,00,00,-1,-1,-1,00,-1,00,-1,00,-1
1640,-1,-1,-1,-2,-1,+1,00,00,-1,-2,-2,-1
1641,-2,-1,-2,00,+1,00,-2,+1,-1,-1,00,-1
1642,+1,00,00,-1,-2,+1,+1,+1,-1,00,00,00
1643,+2,+1,-2,-2,-1,+2,00,00,-2,-1,-2,00
1644,-1,+1,00,-1,+1,+1,+2,00,+2,-1,00,00
1645,00,+1,+1,+1,00,+1,+1,00,-1,-1,00,-2
1646,-2,-1,-1,+1,+1,00,+2,+2,-1,-1,+1,+1
1647,-1,-1,00,00,+1,00,00,00,+1,00,+1,00
1648,00,00,-2,+1,+1,00,00,+1,+1,-1,+1,-2
1649,-1,-1,-1,+1,-1,+2,+1,00,-1,-1,-1,-2
1650,00,+2,-1,00,00,+2,+1,+1,00,-1,00,-1
1651,+1,-1,-1,00,-1,00,00,+1,-2,-1,+1,+1
1652,-1,+2,00,-1,+1,00,+1,+2,-1,00,+2,00
1653,00,-1,-1,00,+2,-1,00,-1,-2,+1,00,+1
1654,+1,00,-2,+1,00,00,-1,00,+2,00,-2,-2
1655,-1,00,00,-1,+1,-1,00,+1,00,+1,00,-1
1656,-1,-1,-1,00,-1,-1,+1,00,00,-1,00,-1
1657,+1,+2,00,+1,-1,-1,00,-1,-1,-1,-2,-2
1658,-3,-3,-2,-2,-2,-1,-1,00,-1,00,+1,-1
1659,+1,-1,-1,00,00,00,-2,00,-1,+1,00,-1
1660,-2,-2,-1,00,00,-2,00,+2,+2,-2,-1,00
1661,+1,+2,+1,+2,-1,00,+2,00,00,00,+2,+2
